Lyrics:								English Translation:
 	 
Thuirt an gobha fuirighidh mi		The blacksmith said, "I'll wait"
'S thuirt an gobha falbhaidh mi		The blacksmith said, "I'll go"
'S thuirt an gobha leis an othail	The blacksmith said, in his confusion
A bh' air an dòrus an t-sàbhail		Standing at the door of the barn
Gu rachadh e a shuirghe				That he was going to go courting
 	 
Sèist:	Chorus (after each verse):
'Si eilean nam bothan nam bothan	Island of bothies, of bothies
Eilean nam bothan nam bothan		Island of bothies, of bothies
Eilean nam bothan nam bothan		Island of bothies, of bothies
Am bothan a bh' aig Fionnghuala		Fingal's bothies
'Si eilean nam bothan nam bothan	Island of bothies, of bothies
Eilean nam bothan nam bothan		Island of bothies, of bothies
Eilean nam bothan nam bothan		Island of bothies, of bothies
Am bothan a bh' aig Fionnghuala		Fingal's bothies
 	 
Bheirinn fead air fulmairean		I'd knock spots off the birds
Bheirinn fead air falmairean		I'd knock spots off the hakes
Liuthannan beaga na mara			Little lythes of the sea
Bheireamaid greis air an tarrainn	We would take a while hauling them in
Na maireadh na duirgh dhuinn		If our hand lines last
 	 
Cha d'thuirt an dadan a' seo		We got nothing here
Cha d'thuirt an dadan a' seo		We got nothing here
Cha d'thuirt an dadan a' seo		We got nothing here
Bheireamaid greis air an tarrainn	We would take a while hauling them in
Na maireadh na duirgh dhuinn		If our hand lines last
 	 
Bheirinn fead air fulmairean		I'd knock spots off the birds
Bheirinn fead air falmairean		I'd knock spots off the hakes
Liuthannan beaga na mara			Little lythes of the sea
Bheireamaid greis air an tarrainn	We would take a while hauling them in
Na maireadh na duirgh dhuinn		If our hand lines last
 	 
Cha d'thuirt an dadan a' seo		We got nothing here
Cha d'thuirt an dadan a' seo		We got nothing here
Cha d'thuirt an dadan a' seo		We got nothing here
Bheireamaid greis air an tarrainn	We would take a while hauling them in
Na maireadh na duirgh dhuinn		If our hand lines last
 	 
Thuirt an gobha fuirighidh mi		The blacksmith said, "I'll wait"
'S thuirt an gobha falbhaidh mi		The blacksmith said, "I'll go"
'S thuirt an gobha leis an othail	The blacksmith said, in his confusion
A bh' air an dòrus an t-sàbhail		Standing at the door of the barn
Gu rachadh e a shuirghe				That he was going to go courting
